ad_id,recommendation,platform,brand,category,ad_type,target_audience,creative_theme,status,start_date,days_running,spend,revenue,roas,impressions,clicks,ctr,conversions,cpc,cpa,creative_score,landing_page_score,frequency,video_completion_rate
AD-0001,ENDED_WIN,Meta,Man Matters,Skin Care,Video,F 25-34,Celebrity Endorsement,Completed,2025-07-18,37,146875.11,19121965.21,130.19,3781653,281970,7.46,20800,0.52,7.06,5.5,8.07,6.44,63
AD-0002,SCALE,Instagram,Be Bodywise,Wellness,Image,F 35-44,Product Demo,Active,2025-04-02,2,164139.88,75934842.01,462.62,7781573,612022,7.87,46613,0.27,3.52,4.1,2.36,7.28,
AD-0003,MONITOR,Google,Little Joys,Nutrition,Image,M 25-34,Infographic,Active,2025-09-10,72,71406.29,925321.53,12.96,2104114,22758,1.08,1420,3.14,50.29,1.14,7.89,3,
AD-0004,ENDED_WIN,Instagram,Be Bodywise,Weight Management,Image,M 18-24,Testimonial,Completed,2025-02-07,59,178383.21,15074432.4,84.51,7960669,137732,1.73,14961,1.3,11.92,6.14,8.19,7.9,
AD-0005,ENDED_WIN,Google,Little Joys,Hair Care,Carousel,M 18-24,Infographic,Completed,2025-07-19,55,107030.09,6911876.79,64.58,3872692,188954,4.88,10166,0.57,10.53,9.51,7.71,4.87,
AD-0006,ENDED_OK,Instagram,Little Joys,Weight Management,Carousel,M 35-44,Lifestyle,Completed,2025-03-27,25,52301.02,196962.95,3.77,281391,1640,0.58,129,31.89,405.43,1.39,4.05,7.86,
AD-0007,SCALE,Google,Be Bodywise,Hair Care,Carousel,F 35-44,Celebrity Endorsement,Active,2025-02-14,17,35044.11,2225477.27,63.51,474885,28495,6,1295,1.23,27.06,7.43,7.23,6.09,
AD-0008,ENDED_WIN,Meta,Man Matters,Sexual Health,Video,F 35-44,Before/After,Completed,2025-11-05,43,180216.25,11742306.72,65.16,3381433,119146,3.52,10740,1.51,16.78,2.54,9.67,3.2,27.83
AD-0009,ENDED_OK,Google,Be Bodywise,Wellness,Image,F 35-44,Celebrity Endorsement,Completed,2025-02-07,51,159686.64,1737983.17,10.88,6379203,407489,6.39,6746,0.39,23.67,2.08,3.89,4.7,
AD-0010,SCALE,Instagram,Man Matters,Wellness,Image,F 25-34,Product Demo,Active,2025-05-09,35,35895.31,2798788.66,77.97,1632012,76556,4.69,7419,0.47,4.84,9.87,3.72,5.78,
AD-0011,SCALE,YouTube,Little Joys,Weight Management,Image,F 18-24,UGC Style,Active,2025-11-17,10,128133.63,4450973.98,34.74,3948686,120492,3.05,12412,1.06,10.32,9.16,4.35,3.06,
AD-0012,SCALE,YouTube,Little Joys,Wellness,Reel,F 35-44,Before/After,Active,2025-11-13,74,50051.93,9583970.38,191.48,1451065,55565,3.83,5872,0.9,8.52,3.52,8.85,3.52,78.06
AD-0013,ENDED_WIN,Instagram,Man Matters,Weight Management,Carousel,F 18-24,Celebrity Endorsement,Paused,2025-05-25,14,116214.68,9147211.77,78.71,2956121,212520,7.19,29927,0.55,3.88,5.37,9.33,6.38,
AD-0014,ENDED_OK,Meta,Little Joys,Hair Care,Reel,M 35-44,Before/After,Paused,2025-10-11,82,103053.46,283524.12,2.75,3665528,87437,2.39,788,1.18,130.78,1.98,5.15,2.66,20.21
AD-0015,ENDED_OK,Instagram,Little Joys,Wellness,Story,F 18-24,Doctor Trust,Paused,2025-03-05,53,120014.45,1427462.66,11.89,3668866,69838,1.9,2840,1.72,42.26,7.32,4.38,2.33,
AD-0016,ENDED_WIN,Instagram,Be Bodywise,Skin Care,Story,F 25-34,Product Demo,Paused,2025-02-11,28,130071.05,15701903.98,120.72,5288051,336564,6.36,10728,0.39,12.12,8.78,6.97,7.52,
AD-0017,SCALE,Instagram,Be Bodywise,Skin Care,Reel,M 18-24,Celebrity Endorsement,Active,2025-03-09,5,124506.18,41291553.84,331.64,6093199,350590,5.75,22081,0.36,5.64,2.77,7.15,7.03,6.57
AD-0018,SCALE,Meta,Be Bodywise,Skin Care,Reel,M 18-24,Product Demo,Active,2025-01-25,13,48462.6,10764568.34,222.12,1635108,120598,7.38,12094,0.4,4.01,4.46,4.6,3.29,46.25
AD-0019,SCALE,Meta,Little Joys,Hair Care,Video,M 18-24,Before/After,Active,2025-10-10,59,170114.76,33248267.39,195.45,3146579,229914,7.31,20328,0.74,8.37,4.78,5.77,7.7,43.21
AD-0020,SCALE,YouTube,Little Joys,Sexual Health,Video,M 25-34,Doctor Trust,Active,2025-08-21,65,160814.02,53409794.83,332.12,6254044,270491,4.33,28206,0.59,5.7,2.44,7.32,7.5,83.3
AD-0021,SCALE,Instagram,Man Matters,Hair Care,Video,F 18-24,Before/After,Active,2025-05-14,10,164994.29,2961740.6,17.95,7675926,121760,1.59,4814,1.36,34.27,2.26,3.6,4.01,10.18
